Ratio,Rating,FG Color,BG Color
1.00,F,008EAA,E35205
1.00,F,E35205,008EAA
1,F,000000,000000
1,F,002B49,002B49
1,F,008EAA,008EAA
1,F,00AB84,00AB84
1,F,115740,115740
1,F,43B02A,43B02A
1,F,71CC98,71CC98
1,F,75787B,75787B
1,F,833177,833177
1,F,8DC8E8,8DC8E8
1,F,97D700,97D700
1,F,A3A2A0,A3A2A0
1,F,A7ACA2,A7ACA2
1,F,C6AA76,C6AA76
1,F,E35205,E35205
1,F,EEDC00,EEDC00
1,F,F9423A,F9423A
1,F,FFFFFF,FFFFFF
1.03,F,A7ACA2,C6AA76
1.03,F,C6AA76,A7ACA2
1.04,F,00AB84,43B02A
1.04,F,43B02A,00AB84
1.04,F,8DC8E8,97D700
1.04,F,97D700,8DC8E8
1.07,F,008EAA,F9423A
1.07,F,71CC98,8DC8E8
1.07,F,8DC8E8,71CC98
1.07,F,E35205,F9423A
1.07,F,F9423A,008EAA
1.07,F,F9423A,E35205
1.08,F,115740,833177
1.08,F,833177,115740
1.10,F,43B02A,A3A2A0
1.10,F,A3A2A0,43B02A
1.10,F,A3A2A0,A7ACA2
1.10,F,A7ACA2,A3A2A0
1.11,F,71CC98,97D700
1.11,F,97D700,71CC98
1.14,F,71CC98,C6AA76
1.14,F,A3A2A0,C6AA76
1.14,F,C6AA76,71CC98
1.14,F,C6AA76,A3A2A0
1.15,F,008EAA,75787B
1.15,F,00AB84,A3A2A0
1.15,F,75787B,008EAA
1.15,F,75787B,E35205
1.15,F,A3A2A0,00AB84
1.15,F,E35205,75787B
1.19,F,71CC98,A7ACA2
1.19,F,A7ACA2,71CC98
1.21,F,00AB84,F9423A
1.21,F,43B02A,A7ACA2
1.21,F,A7ACA2,43B02A
1.21,F,F9423A,00AB84
1.22,F,8DC8E8,C6AA76
1.22,F,C6AA76,8DC8E8
1.23,F,97D700,EEDC00
1.23,F,EEDC00,97D700
1.24,F,75787B,F9423A
1.24,F,F9423A,75787B
1.25,F,43B02A,C6AA76
1.25,F,C6AA76,43B02A
1.26,F,00AB84,A7ACA2
1.26,F,A7ACA2,00AB84
1.27,F,43B02A,F9423A
1.27,F,8DC8E8,A7ACA2
1.27,F,97D700,C6AA76
1.27,F,A7ACA2,8DC8E8
1.27,F,C6AA76,97D700
1.27,F,F9423A,43B02A
1.28,F,8DC8E8,EEDC00
1.28,F,EEDC00,8DC8E8
1.30,F,00AB84,E35205
1.30,F,E35205,00AB84
1.31,F,008EAA,00AB84
1.31,F,00AB84,008EAA
1.31,F,00AB84,C6AA76
1.31,F,71CC98,A3A2A0
1.31,F,A3A2A0,71CC98
1.31,F,C6AA76,00AB84
1.32,F,97D700,A7ACA2
1.32,F,A7ACA2,97D700
1.36,F,43B02A,E35205
1.36,F,E35205,43B02A
1.37,F,008EAA,43B02A
1.37,F,43B02A,008EAA
1.37,F,71CC98,EEDC00
1.37,F,EEDC00,71CC98
1.40,F,8DC8E8,A3A2A0
1.40,F,A3A2A0,8DC8E8
1.40,F,A3A2A0,F9423A
1.40,F,F9423A,A3A2A0
1.41,F,EEDC00,FFFFFF
1.41,F,FFFFFF,EEDC00
1.44,F,000000,002B49
1.44,F,002B49,000000
1.44,F,43B02A,71CC98
1.44,F,71CC98,43B02A
1.46,F,97D700,A3A2A0
1.46,F,A3A2A0,97D700
1.50,F,00AB84,71CC98
1.50,F,71CC98,00AB84
1.50,F,A3A2A0,E35205
1.50,F,E35205,A3A2A0
1.51,F,008EAA,A3A2A0
1.51,F,00AB84,75787B
1.51,F,75787B,00AB84
1.51,F,A3A2A0,008EAA
1.54,F,43B02A,8DC8E8
1.54,F,8DC8E8,43B02A
1.54,F,A7ACA2,F9423A
1.54,F,F9423A,A7ACA2
1.58,F,43B02A,75787B
1.58,F,75787B,43B02A
1.58,F,C6AA76,EEDC00
1.58,F,EEDC00,C6AA76
1.60,F,43B02A,97D700
1.60,F,97D700,43B02A
1.60,F,C6AA76,F9423A
1.60,F,F9423A,C6AA76
1.61,F,00AB84,8DC8E8
1.61,F,8DC8E8,00AB84
1.64,F,A7ACA2,EEDC00
1.64,F,EEDC00,A7ACA2
1.65,F,A7ACA2,E35205
1.65,F,E35205,A7ACA2
1.66,F,008EAA,A7ACA2
1.66,F,A7ACA2,008EAA
1.68,F,00AB84,97D700
1.68,F,97D700,00AB84
1.70,F,002B49,115740
1.70,F,115740,002B49
1.71,F,C6AA76,E35205
1.71,F,E35205,C6AA76
1.72,F,008EAA,C6AA76
1.72,F,C6AA76,008EAA
1.74,F,75787B,A3A2A0
1.74,F,97D700,FFFFFF
1.74,F,A3A2A0,75787B
1.74,F,FFFFFF,97D700
1.77,F,75787B,833177
1.77,F,833177,75787B
1.80,F,A3A2A0,EEDC00
1.80,F,EEDC00,A3A2A0
1.81,F,8DC8E8,FFFFFF
1.81,F,FFFFFF,8DC8E8
1.83,F,71CC98,F9423A
1.83,F,F9423A,71CC98
1.85,F,002B49,833177
1.85,F,833177,002B49
1.91,F,75787B,A7ACA2
1.91,F,A7ACA2,75787B
1.92,F,115740,75787B
1.92,F,75787B,115740
1.94,F,71CC98,FFFFFF
1.94,F,FFFFFF,71CC98
1.96,F,8DC8E8,F9423A
1.96,F,F9423A,8DC8E8
1.97,F,71CC98,E35205
1.97,F,E35205,71CC98
1.98,F,008EAA,71CC98
1.98,F,43B02A,EEDC00
