   ,FFFFFF,000000,43B02A,115740,A3A2A0,EEDC00,71CC98,002B49,F9423A,E35205,75787B,8DC8E8,00AB84,97D700,008EAA,A7ACA2,C6AA76,833177
FFFFFF,1,21,2.80,8.53,2.55,1.41,1.94,14.5,3.57,3.83,4.44,1.81,2.93,1.74,3.85,2.31,2.23,7.86
000000,21,1,7.48,2.46,8.23,14.8,10.7,1.44,5.86,5.47,4.72,11.5,7.15,12.0,5.44,9.06,9.41,2.67
43B02A,2.80,7.48,1,3.04,1.10,1.98,1.44,5.18,1.27,1.36,1.58,1.54,1.04,1.60,1.37,1.21,1.25,2.80
115740,8.53,2.46,3.04,1,3.34,6.04,4.38,1.70,2.38,2.22,1.92,4.69,2.90,4.89,2.21,3.68,3.82,1.08
A3A2A0,2.55,8.23,1.10,3.34,1,1.80,1.31,5.71,1.40,1.50,1.74,1.40,1.15,1.46,1.51,1.10,1.14,3.08
EEDC00,1.41,14.8,1.98,6.04,1.80,1,1.37,10.3,2.53,2.71,3.14,1.28,2.07,1.23,2.72,1.64,1.58,5.56
71CC98,1.94,10.7,1.44,4.38,1.31,1.37,1,7.48,1.83,1.97,2.28,1.07,1.50,1.11,1.98,1.19,1.14,4.04
002B49,14.5,1.44,5.18,1.70,5.71,10.3,7.48,1,4.07,3.79,3.28,8.01,4.96,8.34,3.77,6.28,6.52,1.85
F9423A,3.57,5.86,1.27,2.38,1.40,2.53,1.83,4.07,1,1.07,1.24,1.96,1.21,2.05,1.07,1.54,1.60,2.19
E35205,3.83,5.47,1.36,2.22,1.50,2.71,1.97,3.79,1.07,1,1.15,2.11,1.30,2.19,1.00,1.65,1.71,2.05
75787B,4.44,4.72,1.58,1.92,1.74,3.14,2.28,3.28,1.24,1.15,1,2.44,1.51,2.54,1.15,1.91,1.99,1.77
8DC8E8,1.81,11.5,1.54,4.69,1.40,1.28,1.07,8.01,1.96,2.11,2.44,1,1.61,1.04,2.12,1.27,1.22,4.32
00AB84,2.93,7.15,1.04,2.90,1.15,2.07,1.50,4.96,1.21,1.30,1.51,1.61,1,1.68,1.31,1.26,1.31,2.68
97D700,1.74,12.0,1.60,4.89,1.46,1.23,1.11,8.34,2.05,2.19,2.54,1.04,1.68,1,2.20,1.32,1.27,4.50
008EAA,3.85,5.44,1.37,2.21,1.51,2.72,1.98,3.77,1.07,1.00,1.15,2.12,1.31,2.20,1,1.66,1.72,2.04
A7ACA2,2.31,9.06,1.21,3.68,1.10,1.64,1.19,6.28,1.54,1.65,1.91,1.27,1.26,1.32,1.66,1,1.03,3.39
C6AA76,2.23,9.41,1.25,3.82,1.14,1.58,1.14,6.52,1.60,1.71,1.99,1.22,1.31,1.27,1.72,1.03,1,3.52
833177,7.86,2.67,2.80,1.08,3.08,5.56,4.04,1.85,2.19,2.05,1.77,4.32,2.68,4.50,2.04,3.39,3.52,1
