   ,FFFFFF,000000,43B02A,115740,A3A2A0,EEDC00,71CC98,002B49,F9423A,E35205,75787B,8DC8E8,00AB84,97D700,008EAA,A7ACA2,C6AA76,833177
FFFFFF,F,AAA,F,AAA,F,F,F,AAA,G,G,G,F,F,F,G,F,F,AAA
000000,AAA,F,AAA,F,AAA,AAA,AAA,F,AA,AA,AA,AAA,AAA,AAA,AA,AAA,AAA,F
43B02A,F,AAA,F,G,F,F,F,AA,F,F,F,F,F,F,F,F,F,F
115740,AAA,F,G,F,G,AA,G,F,F,F,F,AA,F,AA,F,G,G,F
A3A2A0,F,AAA,F,G,F,F,F,AA,F,F,F,F,F,F,F,F,F,G
EEDC00,F,AAA,F,AA,F,F,F,AAA,F,F,G,F,F,F,F,F,F,AA
71CC98,F,AAA,F,G,F,F,F,AAA,F,F,F,F,F,F,F,F,F,G
002B49,AAA,F,AA,F,AA,AAA,AAA,F,G,G,G,AAA,AA,AAA,G,AA,AA,F
F9423A,G,AA,F,F,F,F,F,G,F,F,F,F,F,F,F,F,F,F
E35205,G,AA,F,F,F,F,F,G,F,F,F,F,F,F,F,F,F,F
75787B,G,AA,F,F,F,G,F,G,F,F,F,F,F,F,F,F,F,F
8DC8E8,F,AAA,F,AA,F,F,F,AAA,F,F,F,F,F,F,F,F,F,G
00AB84,F,AAA,F,F,F,F,F,AA,F,F,F,F,F,F,F,F,F,F
97D700,F,AAA,F,AA,F,F,F,AAA,F,F,F,F,F,F,F,F,F,AA
008EAA,G,AA,F,F,F,F,F,G,F,F,F,F,F,F,F,F,F,F
A7ACA2,F,AAA,F,G,F,F,F,AA,F,F,F,F,F,F,F,F,F,G
C6AA76,F,AAA,F,G,F,F,F,AA,F,F,F,F,F,F,F,F,F,G
833177,AAA,F,F,F,G,AA,G,F,F,F,F,G,F,AA,F,G,G,F
